#车站1编号,车站2编号,距离(m)
#-----1
1,2,2606
2,3,1921
3,4,1953
4,5,1479
5,6,1810
6,7,1778
7,8,1313
8,9,1172
9,10,1166
10,11,1291
11,12,424
12,13,1590
13,14,1217
14,15,925
15,16,852
16,17,774
17,18,1230
18,19,1377
19,20,790
20,21,1385
21,22,1673
22,23,1714
#-----3八通线
24,25,1715
25,26,1375
26,27,2002
27,28,1894
28,29,1912
29,30,1763
30,31,1700
31,32,1465
32,33,990
33,34,1225
34,35,1257
35,36,776
#-----2
37,38,1899
38,39,909
39,40,960
40,41,1832
41,42,1234
42,43,929
43,44,851
44,45,1171
45,46,1634
46,47,1023
47,48,945
48,49,1763
49,50,1027
50,51,824
51,52,2228
52,53,794
53,54,1237
54,37,1766
#-----11机场线
55,56,2999
56,57,18329
57,58,7239
58,56,20619
#-----4
59,60,1363
60,61,1251
61,62,1672
62,63,1295
63,64,887
64,65,900
65,66,1063
66,67,1052
67,68,1658
68,69,1517
69,70,1441
70,71,1025
71,72,1100
72,73,1100
73,74,869
74,75,1011
75,76,815
76,77,1152
77,78,1200
78,79,1643
79,80,1480
80,81,827
81,82,989
#-----4-大兴线
82,83,2798
83,84,5102
84,85,1810
85,86,1128
86,87,1096
87,88,1200
88,89,1214
89,90,987
90,91,2035
91,92,2918
92,93,1811
#-----5
94,95,939
95,96,965
96,97,1544
97,98,1305
98,99,1286
99,100,3000
100,101,1838
101,102,1122
102,103,1025
103,104,1059
104,105,1151
105,106,866
106,107,791
107,108,1016
108,109,848
109,110,945
110,111,821
111,112,876
112,113,1183
113,114,1900
114,115,905
115,116,1670
#-----12亦庄线
117,118,2631
118,119,1275
119,120,2366
120,121,1982
121,122,993
122,123,1728
123,124,1090
124,125,1355
125,126,2337
126,127,2301
127,128,2055
128,129,1281
129,130,1320
#-----6
131,132,1508
132,133,1431
133,134,1166
134,135,1664
135,136,887
136,137,1443
137,138,1321
138,139,1349
139,140,1937
140,141,1399
141,142,1668
142,143,845
143,144,1450
144,145,2036
145,146,1282
146,147,3999
147,148,1238
148,149,1854
149,150,1405
150,300,2115
300,301,2557
301,302,1468
302,303,1543
303,304,1599
304,305,929
305,306,1346
306,307,1194
#-----8
151,152,902
152,153,1188
153,154,1083
154,155,1274
155,156,1018
156,157,900
157,158,1667
158,159,1016
159,160,2555
160,161,2553
161,162,1041
162,163,1543
163,164,1894
164,165,1114
165,166,2056
166,167,1985
167,168,2318
#-----9
169,170,1096
170,171,943
171,172,1912
172,173,1398
173,174,1170
174,175,1309
175,176,1778
176,177,1325
177,178,1585
178,179,980
179,180,788
180,181,1347
#-----19
182,183,1405
183,184,6466
184,185,4041
185,186,2150
186,187,1474
187,188,2003
188,189,1188
189,190,1738
190,191,1332
191,192,1330
#-----10环
193,194,1021
194,195,1006
195,196,1759
196,197,835
197,198,734
198,199,1149
199,200,853
200,201,914
201,202,1506
202,203,1759
203,204,1003
204,205,1712
205,206,982
206,207,1020
207,208,1100
208,209,973
209,210,1330
210,211,1101
211,212,1058
212,213,975
213,214,950
214,215,1110
215,216,1495
216,217,961
217,218,1205
218,219,1590
219,220,1214
220,221,2386
221,222,1016
222,223,2392
223,224,1584
224,225,749
225,226,954
226,227,1717
227,228,1143
228,229,1547
229,230,1688
230,231,1254
231,232,1130
232,233,1244
233,234,1269
234,235,1677
235,236,1058
236,237,1804
237,193,1097
#-----13
238,239,2839
239,240,1206
240,241,1829
241,242,4866
242,243,2538
243,244,3623
244,245,1423
245,246,2110
246,247,4785
247,248,2272
248,249,6720
249,250,2152
250,251,1110
251,252,1135
252,253,1769
#-----18昌平线
254,255,5440
255,256,2357
256,257,3799
257,258,2025
258,259,1964
259,260,5357
#------14西段
261,262,845
262,263,1579
263,264,2044
264,265,1236
265,266,4073
266,267,1345
#-----15
268,269,1758
269,270,1652
270,271,2295
271,272,2008
272,273,3309
273,274,3386
274,275,1615
275,276,3354
276,277,4576
277,278,2712
278,279,1331
279,280,2441
268,281,2071
281,282,1087
282,283,938
283,284,1368
284,285,1999
285,286,1337
286,287,1144
#-----14东段
288,289,1364
289,290,1100
290,291,1283
291,292,903
292,293,1168
293,294,676
294,295,1171
295,296,1600
296,297,2173
297,298,1221
298,299,1085
#------7
308,309,935
309,310,734
310,311,1874
311,312,1374
312,313,885
313,314,1205
314,315,869
315,316,1016
316,317,1138
317,318,1332
318,319,1241
319,320,1311
320,321,781
321,322,865
322,323,903
323,324,1464
324,325,906
325,326,1679
326,327,1304
327,328,1021



