车站编号,车站名,所属线路
1,苹果园,1
2,古城,1
3,八角游乐园,1
4,八宝山,1
5,玉泉路,1
6,五棵松,1
7,万寿路,1
8,公主坟,1
9,军事博物馆,1
10,木樨地,1
11,南礼士路,1
12,复兴门,1
13,西单,1
14,天安门西,1
15,天安门东,1
16,王府井,1
17,东单,1
18,建国门,1
19,永安里,1
20,国贸,1
21,大望路,1
22,四惠,1
23,四惠东,1
24,四惠,3
25,四惠东,3
26,高碑店,3
27,传媒大学,3
28,双桥,3
29,管庄,3
30,八里桥,3
31,通州北苑,3
32,果园,3
33,九棵树,3
34,梨园,3
35,临河里,3
36,土桥,3
37,积水潭,2
38,西直门,2
39,车公庄,2
40,阜成门,2
41,复兴门,2
42,长椿街,2
43,宣武门,2
44,和平门,2
45,前门,2
46,崇文门,2
47,北京站,2
48,建国门,2
49,朝阳门,2
50,东四十条,2
51,东直门,2
52,雍和宫,2
53,安定门,2
54,鼓楼大街,2
55,东直门,11
56,三元桥,11
57,T3航站楼,11
58,T2航站楼,11
59,安河桥北,4
60,北宫门,4
61,西苑,4
62,圆明园,4
63,北京大学东门,4
64,中关村,4
65,海淀黄庄,4
66,人民大学,4
67,魏公村,4
68,国家图书馆,4
69,动物园,4
70,西直门,4
71,新街口,4
72,平安里,4
73,西四,4
74,灵境胡同,4
75,西单,4
76,宣武门,4
77,菜市口,4
78,陶然亭,4
79,北京南站,4
80,马家堡,4
81,角门西,4
82,公益西桥,4
83,新宫,4
84,西红门,4
85,高米店北,4
86,高米店南,4
87,枣园,4
88,清源路,4
89,黄村西大街,4
90,黄村火车站,4
91,义和庄,4
92,生物医药基地,4
93,天宫院,4
94,天通苑北,5
95,天通苑,5
96,天通苑南,5
97,立水桥,5
98,立水桥南,5
99,北苑路北,5
100,大屯路东,5
101,惠新西街北口,5
102,惠新西街南口,5
103,和平西桥,5
104,和平里北街,5
105,雍和宫,5
106,北新桥,5
107,张自忠路,5
108,东四,5
109,灯市口,5
110,东单,5
111,崇文门,5
112,磁器口,5
113,天坛东门,5
114,蒲黄榆,5
115,刘家窑,5
116,宋家庄,5
117,宋家庄,12
118,肖村,12
119,小红门,12
120,旧宫,12
121,亦庄桥,12
122,亦庄文化园,12
123,万源街,12
124,荣京东街,12
125,荣昌东街,12
126,同济南路,12
127,经海路,12
128,次渠南,12
129,次渠,12
130,亦庄火车站,12
131,海淀五路居,6
132,慈寿寺,6
133,花园桥,6
134,白石桥南,6
135,车公庄西,6
136,车公庄,6
137,平安里,6
138,北海北,6
139,南锣鼓巷,6
140,东四,6
141,朝阳门,6
142,东大桥,6
143,呼家楼,6
144,金台路,6
145,十里堡,6
146,青年路,6
147,褡裢坡,6
148,黄渠,6
149,常营,6
150,草房,6
151,南锣鼓巷,8
152,什刹海,8
153,鼓楼大街,8
154,安德里北街,8
155,安华桥,8
156,北土城,8
157,奥体中心,8
158,奥林匹克公园,8
159,森林公园南门,8
160,林萃桥,8
161,永泰庄,8
162,西小口,8
163,育新,8
164,霍营,8
165,回龙观东大街,8
