线路编号,车次号,车站编号,到达时刻,发车时刻
1,100000,12,5:09:30,5:10:00
1,100000,11,5:11:00,5:11:30
1,100000,10,5:13:30,5:14:00
1,100000,9,5:15:40,5:16:20
1,100000,8,5:18:00,5:18:40
1,100000,7,5:20:30,5:21:10
1,100000,6,5:23:20,5:24:00
1,100000,5,5:26:20,5:26:50
1,100000,4,5:28:50,5:29:20
1,100000,3,5:31:50,5:32:20
1,100000,2,5:34:50,5:35:20
1,100000,1,5:39:00,5:40:00
1,101001,12,5:14:30,5:15:00
1,101001,13,5:17:00,5:17:30
1,101001,14,5:19:00,5:19:28
1,101001,15,5:20:58,5:21:28
1,101001,16,5:22:58,5:23:28
1,101001,17,5:24:48,5:25:33
1,101001,18,5:27:23,5:28:08
1,101001,19,5:30:08,5:30:38
1,101001,20,5:31:48,5:32:33
1,101001,21,5:34:33,5:35:03
1,101001,22,5:37:33,5:38:03
1,101001,23,5:40:33,5:41:33
1,102000,22,4:56:30,4:57:00
1,102000,21,4:59:30,5:00:10
1,102000,20,5:02:10,5:02:55
1,102000,19,5:04:05,5:04:35
1,102000,18,5:06:35,5:07:20
1,102000,17,5:09:10,5:09:50
1,102000,16,5:11:10,5:11:40
1,102000,15,5:13:10,5:13:40
1,102000,14,5:15:10,5:15:38
1,102000,13,5:17:08,5:17:48
1,102000,12,5:19:48,5:20:33
1,102000,11,5:21:33,5:22:03
1,102000,10,5:24:03,5:24:33
1,102000,9,5:26:13,5:26:53
1,102000,8,5:28:33,5:29:13
1,102000,7,5:31:03,5:31:43
1,102000,6,5:33:53,5:34:33
1,102000,5,5:36:53,5:37:23
1,102000,4,5:39:23,5:39:53
1,102000,3,5:42:23,5:42:53
1,102000,2,5:45:23,5:45:53
1,102000,1,5:49:33,5:50:33
1,102002,22,5:20:00,5:20:30
1,102002,21,5:23:00,5:23:40
1,102002,20,5:25:40,5:26:25
1,102002,19,5:27:35,5:28:05
1,102002,18,5:30:05,5:30:50
1,102002,17,5:32:40,5:33:20
1,102002,16,5:34:40,5:35:10
1,102002,15,5:36:40,5:37:10
1,102002,14,5:38:40,5:39:08
1,102002,13,5:40:38,5:41:18
1,102002,12,5:43:18,5:44:03
1,102002,11,5:45:03,5:45:33
1,102002,10,5:47:33,5:48:03
1,102002,9,5:49:43,5:50:23
1,102002,8,5:52:03,5:52:43
1,102002,7,5:54:33,5:55:13
1,102002,6,5:57:23,5:58:03
1,102002,5,6:00:23,6:00:53
1,102002,4,6:02:53,6:03:23
1,102002,3,6:05:53,6:06:23
1,102002,2,6:08:53,6:09:23
1,102002,1,6:13:03,6:14:03
1,102004,22,5:29:30,5:30:00
1,102004,21,5:32:30,5:33:10
1,102004,20,5:35:10,5:35:55
1,102004,19,5:37:05,5:37:35
1,102004,18,5:39:35,5:40:20
1,102004,17,5:42:10,5:42:50
1,102004,16,5:44:10,5:44:40
1,102004,15,5:46:10,5:46:40
1,102004,14,5:48:10,5:48:38
1,102004,13,5:50:08,5:50:48
1,102004,12,5:52:48,5:53:33
1,102004,11,5:54:33,5:55:03
1,102004,10,5:57:03,5:57:33
1,102004,9,5:59:13,5:59:53
1,102004,8,6:01:33,6:02:13
1,102004,7,6:04:03,6:04:43
1,102004,6,6:06:53,6:07:33
1,102004,5,6:09:53,6:10:23
1,102004,4,6:12:23,6:12:53
1,102004,3,6:15:23,6:15:53
1,102004,2,6:18:23,6:18:53
1,102004,1,6:22:33,6:23:33
1,102006,22,5:41:10,5:41:40
1,102006,21,5:44:10,5:44:50
1,102006,20,5:46:50,5:47:35
1,102006,19,5:48:45,5:49:15
1,102006,18,5:51:15,5:52:00
1,102006,17,5:53:50,5:54:30
1,102006,16,5:55:50,5:56:20
1,102006,15,5:57:50,5:58:20
1,102006,14,5:59:50,6:00:18
1,102006,13,6:01:48,6:02:28
1,102006,12,6:04:28,6:05:13
1,102006,11,6:06:13,6:06:43
1,102006,10,6:08:43,6:09:13
1,102006,9,6:10:53,6:11:33
1,102006,8,6:13:13,6:13:53
1,102006,7,6:15:43,6:16:23
1,102006,6,6:18:33,6:19:13
1,102006,5,6:21:33,6:22:03
1,102006,4,6:24:03,6:24:33
1,102006,3,6:27:03,6:27:33
1,102006,2,6:30:03,6:30:33
1,102006,1,6:34:13,6:35:13
1,102008,22,5:45:30,5:46:00
1,102008,21,5:48:30,5:49:10
1,102008,20,5:51:10,5:51:55
1,102008,19,5:53:05,5:53:35
1,102008,18,5:55:35,5:56:20
1,102008,17,5:58:10,5:58:50
1,102008,16,6:00:10,6:00:40
1,102008,15,6:02:10,6:02:40
1,102008,14,6:04:10,6:04:38
1,102008,13,6:06:08,6:06:48
1,102008,12,6:08:48,6:09:33
1,102008,11,6:10:33,6:11:03
1,102008,10,6:13:03,6:13:33
1,102008,9,6:15:13,6:15:53
1,102008,8,6:17:33,6:18:13
1,102008,7,6:20:03,6:20:43
1,102008,6,6:22:53,6:23:33
1,102008,5,6:25:53,6:26:23
1,102008,4,6:28:23,6:28:53
1,102008,3,6:31:23,6:31:53
1,102008,2,6:34:23,6:34:53
1,102008,1,6:38:33,6:39:33
1,102010,22,5:50:10,5:50:40
1,102010,21,5:53:10,5:53:50
1,102010,20,5:55:50,5:56:35
1,102010,19,5:57:45,5:58:15
1,102010,18,6:00:15,6:01:00
1,102010,17,6:02:50,6:03:30
1,102010,16,6:04:50,6:05:20
1,102010,15,6:06:50,6:07:20
1,102010,14,6:08:50,6:09:18
1,102010,13,6:10:48,6:11:28
1,102010,12,6:13:28,6:14:13
1,102010,11,6:15:13,6:15:43
1,102010,10,6:17:43,6:18:13
1,102010,9,6:19:53,6:20:33
1,102010,8,6:22:13,6:22:53
1,102010,7,6:24:43,6:25:23
1,102010,6,6:27:33,6:28:13
1,102010,5,6:30:33,6:31:03
1,102010,4,6:33:03,6:33:33
1,102010,3,6:36:03,6:36:33
1,102010,2,6:39:03,6:39:33
1,102010,1,6:43:13,6:44:13
1,102012,22,5:54:55,5:55:25
1,102012,21,5:57:55,5:58:35
1,102012,20,6:00:35,6:01:20
1,102012,19,6:02:30,6:03:00
1,102012,18,6:05:00,6:05:45
1,102012,17,6:07:35,6:08:15
1,102012,16,6:09:35,6:10:05
1,102012,15,6:11:35,6:12:05
1,102012,14,6:13:35,6:14:03
1,102012,13,6:15:33,6:16:13
1,102012,12,6:18:13,6:18:58
1,102012,11,6:19:58,6:20:28
1,102012,10,6:22:28,6:22:58
1,102012,9,6:24:38,6:25:18
1,102012,8,6:26:58,6:27:38
1,102012,7,6:29:28,6:30:08
1,102012,6,6:32:18,6:32:58
1,102012,5,6:35:18,6:35:48
1,102012,4,6:37:48,6:38:18
1,102012,3,6:40:48,6:41:18
1,102012,2,6:43:48,6:44:18
1,102012,1,6:47:58,6:48:58
1,102014,22,5:59:50,6:00:20
1,102014,21,6:02:50,6:03:30
1,102014,20,6:05:30,6:06:15
1,102014,19,6:07:25,6:07:55
1,102014,18,6:09:55,6:10:40
1,102014,17,6:12:30,6:13:10
1,102014,16,6:14:30,6:15:00
1,102014,15,6:16:30,6:17:00
1,102014,14,6:18:30,6:18:58
1,102014,13,6:20:28,6:21:08
1,102014,12,6:23:08,6:23:53
1,102014,11,6:24:53,6:25:23
1,102014,10,6:27:23,6:27:53
1,102014,9,6:29:33,6:30:13
1,102014,8,6:31:53,6:32:33
1,102014,7,6:34:23,6:35:03
1,102014,6,6:37:13,6:37:53
1,102014,5,6:40:13,6:40:43
1,102014,4,6:42:43,6:43:13
1,102014,3,6:45:43,6:46:13
